"","year","month","month.year","policy01","policy02","policy03","policy04","policy05","policy06","policy07","policy08","policy09","policy10","policy11","policy12","policy13","policy14","policy15","policy16","policy17","policy18","policy19","policy20","policy21","policy22","policy23","total.attention","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","entropy","herfindahl","date","entropy.ma3","entropy.ma6","epu"
"1",1985,1,Jan 1985,3,0,1,0,0,0,0,0,0,1,0,2,1,0,1,1,2,0,8,8,0,0,0,28,0.107142857142857,0,0.0357142857142857,0,0,0,0,0,0,0.0357142857142857,0,0.0714285714285714,0.0357142857142857,0,0.0357142857142857,0.0357142857142857,0.0714285714285714,0,0.285714285714286,0.285714285714286,0,0,0,0.633013142379906,0.150892857142857,1985-01-01,0.76571514147585,0.850588851517946,125.2247391
"5",1985,2,Feb 1985,17,0,6,9,7,6,4,9,0,11,0,5,2,6,7,29,7,5,17,15,12,0,0,174,0.0977011494252874,0,0.0344827586206897,0.0517241379310345,0.0402298850574713,0.0344827586206897,0.0229885057471264,0.0517241379310345,0,0.0632183908045977,0,0.028735632183908,0.0114942528735632,0.0344827586206897,0.0402298850574713,0.166666666666667,0.0402298850574713,0.028735632183908,0.0977011494252874,0.0862068965517241,0.0689655172413793,0,0,0.889456130614816,0.0330955212049148,1985-02-01,0.713859634159435,0.797608585038712,99.02081299
"6",1985,3,Mar 1985,7,4,16,22,6,4,18,12,3,10,0,14,5,12,17,28,9,17,12,22,15,0,0,253,0.0276679841897233,0.0158102766798419,0.0632411067193676,0.0869565217391304,0.0237154150197628,0.0158102766798419,0.0711462450592885,0.0474308300395257,0.0118577075098814,0.0395256916996047,0,0.0553359683794466,0.0197628458498024,0.0474308300395257,0.0671936758893281,0.110671936758893,0.0355731225296443,0.0671936758893281,0.0474308300395257,0.0869565217391304,0.0592885375494071,0,0,0.936421849764722,0.0171741473855239,1985-03-01,0.761234636497361,0.792690840373116,112.190506
"7",1985,4,Apr 1985,6,3,14,14,3,2,12,9,2,9,0,18,10,4,23,16,11,9,13,24,10,0,0,212,0.0283018867924528,0.0141509433962264,0.0660377358490566,0.0660377358490566,0.0141509433962264,0.00943396226415094,0.0566037735849057,0.0424528301886792,0.00943396226415094,0.0424528301886792,0,0.0849056603773585,0.0471698113207547,0.0188679245283019,0.108490566037736,0.0754716981132075,0.0518867924528302,0.0424528301886792,0.0613207547169811,0.113207547169811,0.0471698113207547,0,0,0.923942166504389,0.0208348166607334,1985-04-01,0.912938990189769,0.798064281142229,102.8113251
"8",1985,5,May 1985,10,1,12,2,11,5,12,11,0,10,0,16,4,4,17,9,5,4,10,20,8,0,0,171,0.0584795321637427,0.00584795321637427,0.0701754385964912,0.0116959064327485,0.064327485380117,0.0292397660818713,0.0701754385964912,0.064327485380117,0,0.0584795321637427,0,0.0935672514619883,0.0233918128654971,0.0233918128654971,0.0994152046783626,0.0526315789473684,0.0292397660818713,0.0233918128654971,0.0584795321637427,0.116959064327485,0.0467836257309941,0,0,0.911978189847208,0.0226428644711193,1985-05-01,0.930182008134555,0.835507883040559,120.0827255
"9",1985,6,Jun 1985,24,4,20,1,12,7,13,10,3,9,0,10,7,3,11,16,8,6,12,29,8,0,0,213,0.112676056338028,0.0187793427230047,0.0938967136150235,0.00469483568075117,0.0563380281690141,0.0328638497652582,0.0610328638497653,0.0469483568075117,0.0140845070422535,0.0422535211267606,0,0.0469483568075117,0.0328638497652582,0.0140845070422535,0.0516431924882629,0.0751173708920188,0.0375586854460094,0.028169014084507,0.0563380281690141,0.136150234741784,0.0375586854460094,0,0,0.91778373827795,0.0247305428817034,1985-06-01,0.917960178175799,0.858962295822208,132.7131805
"10",1985,7,Jul 1985,16,9,16,6,10,11,10,7,2,6,0,10,4,1,11,6,8,7,15,24,16,0,0,195,0.0820512820512821,0.0461538461538462,0.0820512820512821,0.0307692307692308,0.0512820512820513,0.0564102564102564,0.0512820512820513,0.0358974358974359,0.0102564102564103,0.0307692307692308,0,0.0512820512820513,0.0205128205128205,0.00512820512820513,0.0564102564102564,0.0307692307692308,0.041025641025641,0.0358974358974359,0.0769230769230769,0.123076923076923,0.0820512820512821,0,0,0.932467280252049,0.0185641025641026,1985-07-01,0.914880964062579,0.915916415001817,128.0018158
"11",1985,8,Aug 1985,2,1,5,2,0,3,4,2,0,3,0,2,1,2,1,1,0,3,2,0,2,0,0,36,0.0555555555555556,0.0277777777777778,0.138888888888889,0.0555555555555556,0,0.0833333333333333,0.111111111111111,0.0555555555555556,0,0.0833333333333333,0,0.0555555555555556,0.0277777777777778,0.0555555555555556,0.0277777777777778,0.0277777777777778,0,0.0833333333333333,0.0555555555555556,0,0.0555555555555556,0,0,0.874272708993495,0.0310185185185185,1985-08-01,0.925125509264999,0.924518644929264,126.7661133
"12",1985,9,Sep 1985,13,3,16,3,6,7,7,9,5,9,0,12,4,3,8,14,5,6,17,14,7,0,0,168,0.0773809523809524,0.0178571428571429,0.0952380952380952,0.0178571428571429,0.0357142857142857,0.0416666666666667,0.0416666666666667,0.0535714285714286,0.0297619047619048,0.0535714285714286,0,0.0714285714285714,0.0238095238095238,0.0178571428571429,0.0476190476190476,0.0833333333333333,0.0297619047619048,0.0357142857142857,0.101190476190476,0.0833333333333333,0.0416666666666667,0,0,0.940731648571565,0.0165178571428571,1985-09-01,0.903369994622772,0.912088816775018,126.7685623
"2",1985,10,Oct 1985,12,8,8,6,8,5,9,10,2,8,0,15,6,5,14,27,10,12,21,13,13,0,0,212,0.0566037735849057,0.0377358490566038,0.0377358490566038,0.0283018867924528,0.0377358490566038,0.0235849056603774,0.0424528301886792,0.0471698113207547,0.00943396226415094,0.0377358490566038,0,0.0707547169811321,0.0283018867924528,0.0235849056603774,0.0660377358490566,0.127358490566038,0.0471698113207547,0.0566037735849057,0.0990566037735849,0.0613207547169811,0.0613207547169811,0,0,0.9411103365473,0.0172837308650765,1985-10-01,0.90750217878253,0.915446713188453,116.0577087
"3",1985,11,Nov 1985,2,6,9,4,6,4,5,4,2,8,0,4,4,0,14,5,3,3,10,8,5,0,0,106,0.0188679245283019,0.0566037735849057,0.0849056603773585,0.0377358490566038,0.0566037735849057,0.0377358490566038,0.0471698113207547,0.0377358490566038,0.0188679245283019,0.0754716981132075,0,0.0377358490566038,0.0377358490566038,0,0.132075471698113,0.0471698113207547,0.0283018867924528,0.0283018867924528,0.0943396226415094,0.0754716981132075,0.0471698113207547,0,0,0.925178320731873,0.0208348166607334,1985-11-01,0.940920992559433,0.921273142528472,122.0368729
"4",1985,12,Dec 1985,1,0,6,2,2,0,4,0,0,1,0,4,4,1,5,11,0,1,8,5,3,0,0,58,0.0172413793103448,0,0.103448275862069,0.0344827586206897,0.0344827586206897,0,0.0689655172413793,0,0,0.0172413793103448,0,0.0689655172413793,0.0689655172413793,0.0172413793103448,0.0862068965517241,0.189655172413793,0,0.0172413793103448,0.137931034482759,0.0862068965517241,0.0517241379310345,0,0,0.809505931752609,0.0561236623067776,1985-12-01,0.933144328639587,0.922752059019256,133.2439117
"13",1986,1,Jan 1986,4,0,1,0,1,1,2,2,0,1,0,5,2,4,6,5,1,1,6,5,7,0,0,54,0.0740740740740741,0,0.0185185185185185,0,0.0185185185185185,0.0185185185185185,0.037037037037037,0.037037037037037,0,0.0185185185185185,0,0.0925925925925926,0.037037037037037,0.0740740740740741,0.111111111111111,0.0925925925925926,0.0185185185185185,0.0185185185185185,0.111111111111111,0.0925925925925926,0.12962962962963,0,0,0.856984415293122,0.0385802469135802,1986-01-01,0.867342126242241,0.898159789319368,155.9329224
"17",1986,2,Feb 1986,15,2,11,3,10,11,6,8,2,11,0,12,9,12,8,23,7,10,15,16,14,0,0,205,0.0731707317073171,0.00975609756097561,0.0536585365853659,0.0146341463414634,0.0487804878048781,0.0536585365853659,0.0292682926829268,0.0390243902439024,0.00975609756097561,0.0536585365853659,0,0.0585365853658537,0.0439024390243902,0.0585365853658537,0.0390243902439024,0.11219512195122,0.0341463414634146,0.0487804878048781,0.0731707317073171,0.0780487804878049,0.0682926829268293,0,0,0.94250755340989,0.0147864366448543,1986-02-01,0.833245173522865,0.894702130579294,159.4676819
"18",1986,3,Mar 1986,7,8,20,9,3,3,5,14,1,15,0,7,6,8,21,21,7,8,20,19,17,0,0,219,0.0319634703196347,0.0365296803652968,0.091324200913242,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0228310502283105,0.0639269406392694,0.0045662100456621,0.0684931506849315,0,0.0319634703196347,0.0273972602739726,0.0365296803652968,0.0958904109589041,0.0958904109589041,0.0319634703196347,0.0365296803652968,0.091324200913242,0.0867579908675799,0.0776255707762557,0,0,0.922227850481316,0.0212172390066929,1986-03-01,0.899745984351506,0.895057311546959,160.1980896
"19",1986,4,Apr 1986,7,7,23,14,6,3,3,7,1,8,0,11,4,3,19,15,8,10,13,19,15,0,0,196,0.0357142857142857,0.0357142857142857,0.11734693877551,0.0714285714285714,0.0306122448979592,0.0153061224489796,0.0153061224489796,0.0357142857142857,0.00510204081632653,0.0408163265306122,0,0.0561224489795918,0.0204081632653061,0.0153061224489796,0.0969387755102041,0.076530612244898,0.0408163265306122,0.0510204081632653,0.0663265306122449,0.0969387755102041,0.076530612244898,0,0,0.920441353331895,0.0222120991253644,1986-04-01,0.932367701945603,0.891280814333762,150.3662567
"20",1986,5,May 1986,1,3,17,8,4,5,5,10,1,8,0,14,5,3,14,13,9,13,16,22,7,0,0,178,0.00561797752808989,0.0168539325842697,0.0955056179775281,0.0449438202247191,0.0224719101123595,0.0280898876404494,0.0280898876404494,0.0561797752808989,0.00561797752808989,0.0449438202247191,0,0.0786516853932584,0.0280898876404494,0.0168539325842697,0.0786516853932584,0.0730337078651685,0.050561797752809,0.0730337078651685,0.0898876404494382,0.123595505617978,0.0393258426966292,0,0,0.91391701972091,0.0238353743214241,1986-05-01,0.921334601906606,0.890333420853767,132.6379089
"21",1986,6,Jun 1986,6,5,16,2,2,5,7,13,2,11,0,7,7,3,15,10,6,6,10,16,17,0,0,166,0.036144578313253,0.0301204819277108,0.0963855421686747,0.0120481927710843,0.0120481927710843,0.0301204819277108,0.0421686746987952,0.0783132530120482,0.0120481927710843,0.0662650602409639,0,0.0421686746987952,0.0421686746987952,0.0180722891566265,0.0903614457831325,0.0602409638554217,0.036144578313253,0.036144578313253,0.0602409638554217,0.0963855421686747,0.102409638554217,0,0,0.927290424741634,0.0201879808390187,1986-06-01,0.917179186526403,0.911215638447427,122.5117798
